TF_name*	Peak_start	Peak_end	Target gene*	tf_gene	tf_bnumber	operon
Cra	1992066	1992109	glyW	cra	b0080	glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>
Cra	1992041	1992070	glyW	cra	b0080	glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>
Cra	1992060	1992095	glyW	cra	b0080	glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>
Cra	3785161	3785195	gpmM	cra	b0080	gpmM-envC-yibQ
Cra	3785195	3785218	gpmM	cra	b0080	gpmM-envC-yibQ
Cra	2922461	2922511	gudP	cra	b0080	gudPXD
Cra	2922490	2922533	gudP	cra	b0080	gudPXD
Cra	2922485	2922533	gudP	cra	b0080	gudPXD
Cra	3950384	3950419	ilvL	cra	b0080	ilvLXG_1G_2MEDA
Cra	297191	297235	intF	cra	b0080	intF
Cra	297191	297235	intF	cra	b0080	intF
Cra	3852902	3852941	ivbL	cra	b0080	ivbL-ilvBN-uhpABC
Cra	3982653	3982669	leuT	cra	b0080	
Cra	3982647	3982663	leuT	cra	b0080	
Cra	3982640	3982669	leuT	cra	b0080	
Cra	3982653	3982669	leuT	cra	b0080	
Cra	3322092	3322125	leuU	cra	b0080	
Cra	1991798	1991832	leuZ	cra	b0080	
Cra	1901933	1901974	manX	cra	b0080	manXYZ
Cra	1901941	1901974	manX	cra	b0080	manXYZ
Cra	1901941	1901979	manX	cra	b0080	manXYZ
Cra	3891511	3891555	mdtL	cra	b0080	mdtL
Cra	3891511	3891535	mdtL	cra	b0080	mdtL
Cra	3891511	3891557	mdtL	cra	b0080	mdtL
Cra	2947672	2947702	metV	cra	b0080	
Cra	3318243	3318274	metY	cra	b0080	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
Cra	3318224	3318261	metY	cra	b0080	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
Cra	3318243	3318276	metY	cra	b0080	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
Cra	1862024	1862050	msrB	cra	b0080	msrB
Cra	1861994	1862024	msrB	cra	b0080	msrB
Cra	1861994	1862043	msrB	cra	b0080	msrB
Cra	3493957	3493989	nirB	cra	b0080	nirBDC-cysG
Cra	2800533	2800561	nrdH	cra	b0080	nrdHIEF
Cra	2405346	2405358	nuoA	cra	b0080	nuoABCEFGHIJKLMN
Cra	2405348	2405383	nuoA	cra	b0080	nuoABCEFGHIJKLMN
Cra	2405346	2405381	nuoA	cra	b0080	nuoABCEFGHIJKLMN
Cra	121847	121860	pdhR	cra	b0080	pdhR-aceEF-lpd
Cra	121835	121860	pdhR	cra	b0080	pdhR-aceEF-lpd
Cra	4107394	4107445	pfkA	cra	b0080	pfkA
Cra	4107415	4107439	pfkA	cra	b0080	pfkA
Cra	4107410	4107439	pfkA	cra	b0080	pfkA
Cra	4107415	4107454	pfkA	cra	b0080	pfkA
Cra	4107415	4107445	pfkA	cra	b0080	pfkA
Cra	2736947	2736998	Phantom Gene	cra	b0080	
Cra	3708665	3708712	proK	cra	b0080	proK
Cra	3708645	3708674	proK	cra	b0080	proK
Cra	2533470	2533500	ptsH	cra	b0080	ptsHI-crr
Cra	2533520	2533553	ptsH	cra	b0080	ptsHI-crr
Cra	2533537	2533559	ptsH	cra	b0080	ptsHI-crr
Cra	2533523	2533559	ptsH	cra	b0080	ptsHI-crr
Cra	1755477	1755499	pykF	cra	b0080	pykF
Cra	1755483	1755492	pykF	cra	b0080	pykF
Cra	1755477	1755499	pykF	cra	b0080	pykF
Cra	1755477	1755499	pykF	cra	b0080	pykF
Cra	2908707	2908740	pyrG	cra	b0080	pyrG-eno
Cra	2908707	2908749	pyrG	cra	b0080	pyrG-eno
Cra	2908706	2908735	pyrG	cra	b0080	pyrG-eno
Cra	4472537	4472560	pyrL	cra	b0080	pyrLBI
Cra	3966282	3966321	rhoL	cra	b0080	rhoL-rho
Cra	1194869	1194885	rluE	cra	b0080	rluE-nudJ
Cra	1194884	1194891	rluE	cra	b0080	rluE-nudJ
Cra	4178337	4178343	rplK	cra	b0080	rplKAJL-rpoBC
Cra	3333437	3333468	rplU	cra	b0080	rplU-rpmA-yhbE-obgE
Cra	3453306	3453328	rpsJ	cra	b0080	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
Cra	3453306	3453339	rpsJ	cra	b0080	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
Cra	3453310	3453343	rpsJ	cra	b0080	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
Cra	3210815	3210842	rpsU	cra	b0080	rpsU-dnaG-rpoD
Cra	3581008	3581046	ryhB	cra	b0080	ryhB
Cra	1923140	1923169	sdsR	cra	b0080	sdsR
Cra	2818532	2818563	serV	cra	b0080	serV-argVYZQ
Cra	2263729	2263767	setB	cra	b0080	setB
Cra	4175752	4175789	thrT	cra	b0080	
Cra	262883	262927	thrW	cra	b0080	thrW
Cra	4466237	4466264	treB	cra	b0080	treBC
Cra	1610713	1610727	uxaB	cra	b0080	uxaB
Cra	1610713	1610727	uxaB	cra	b0080	uxaB
Cra	3244793	3244815	uxaC	cra	b0080	uxaCA
Cra	3244801	3244812	uxaC	cra	b0080	uxaCA
Cra	2520925	2520963	valU	cra	b0080	valUXY-lysV
Cra	1746554	1746589	valW	cra	b0080	
Cra	2521209	2521255	valY	cra	b0080	
Cra	2521209	2521253	valY	cra	b0080	
Cra	138752	138761	yacC	cra	b0080	yacC-speED
Cra	331864	331893	yahV	cra	b0080	
Cra	331864	331893	yahV	cra	b0080	
Cra	331864	331893	yahV	cra	b0080	
Cra	331864	331899	yahV	cra	b0080	
Cra	1298343	1298384	ychT	cra	b0080	
Cra	1298376	1298393	ychT	cra	b0080	
Cra	1298363	1298391	ychT	cra	b0080	
Cra	1298363	1298391	ychT	cra	b0080	
Cra	1861994	1862010	yeaC	cra	b0080	yeaC
Cra	2044637	2044663	yeeJ	cra	b0080	yeeJ
Cra	2059900	2059934	yeeO	cra	b0080	yeeO
Cra	2079463	2079511	yeeX	cra	b0080	yeeX
Cra	2150041	2150061	yegI	cra	b0080	yegI
Cra	2278150	2278191	yejG	cra	b0080	yejG
Cra	2278136	2278191	yejG	cra	b0080	yejG
Cra	2278150	2278182	yejG	cra	b0080	yejG
Cra	2278144	2278161	yejG	cra	b0080	yejG
Cra	2278150	2278185	yejG	cra	b0080	yejG
Cra	2509551	2509592	yfeO	cra	b0080	yfeO
Cra	2509551	2509592	yfeO	cra	b0080	yfeO
Cra	2509551	2509592	yfeO	cra	b0080	yfeO
Cra	2563379	2563424	yffQ	cra	b0080	yffQR
Cra	2563380	2563424	yffQ	cra	b0080	yffQR
Cra	2563379	2563424	yffQ	cra	b0080	yffQR
Cra	2563380	2563424	yffQ	cra	b0080	yffQR
Cra	2565289	2565333	yffS	cra	b0080	yffS
Cra	2565289	2565333	yffS	cra	b0080	yffS
Cra	3067203	3067236	ygfI	cra	b0080	ygfI
Cra	3067197	3067227	ygfI	cra	b0080	ygfI
Cra	3067203	3067244	ygfI	cra	b0080	ygfI
Cra	3485893	3485925	yhfA	cra	b0080	yhfA
Cra	3511001	3511032	yhfX	cra	b0080	yhfXW-php-yhfUTS
Cra	4068559	4068606	yihQ	cra	b0080	yihQ
Cra	4068559	4068598	yihQ	cra	b0080	yihQ
Cra	4068567	4068597	yihQ	cra	b0080	yihQ
Cra	4111653	4111676	yiiQ	cra	b0080	yiiQ
Cra	4111653	4111671	yiiQ	cra	b0080	yiiQ
Cra	4111659	4111685	yiiQ	cra	b0080	yiiQ
Cra	4111653	4111676	yiiQ	cra	b0080	yiiQ
Cra	3111202	3111231	yqhJ	cra	b0080	
Cra	3307955	3307985	yrbN	cra	b0080	yrbN-deaD
YafC	2890071	2890101	cysJ	yafC	b0208	cysJIH
YafC	834343	834376	dinG	yafC	b0208	dinG-ybiB
YafC	3170447	3170508	mdaB	yafC	b0208	mdaB
YafC	3170496	3170544	mdaB	yafC	b0208	mdaB
YafC	230869	230900	yafC	yafC	b0208	yafC
YafC	4570358	4570391	yjiT	yafC	b0208	yjiT
YafC	1891781	1891812	yoaB	yafC	b0208	yoaB
YagI	365371	365488	lacZ	yagI	b0272	lacZYA
YagI	365618	365725	lacZ	yagI	b0272	lacZYA
YahB	3306738	3306785	nlpI	yahB	b0316	nlpI
YahB	3208942	3208983	ygjD	yahB	b0316	
YahB	3352535	3352569	yhcC	yahB	b0316	yhcC
PhoB	3284518	3284522	agaB	phoB	b0399	
PhoB	4058198	4058242	glnA	phoB	b0399	glnALG
PhoB	417086	417115	phoB	phoB	b0399	phoBR
PhoB	3911549	3911584	pstS	phoB	b0399	pstSCAB-phoU
PhoB	3911629	3911670	pstS	phoB	b0399	pstSCAB-phoU
PhoB	2774093	2774126	yfjW	phoB	b0399	yfjW
PhoB	2774321	2774354	yfjW	phoB	b0399	yfjW
PhoB	3321253	3321291	yhbX	phoB	b0399	yhbX
PhoB	3321485	3321524	yhbX	phoB	b0399	yhbX
PhoB	4003031	4003074	yigG	phoB	b0399	yigGF
PhoB	1198372	1198398	ymfE	phoB	b0399	ymfED
HupB	4215627	4215629	aceB	hupB	b0440	aceBAK
HupB	2587720	2587745	acrD	hupB	b0440	acrD
HupB	3413217	3413245	acrS	hupB	b0440	
HupB	3413256	3413286	acrS	hupB	b0440	
HupB	3413364	3413392	acrS	hupB	b0440	
HupB	3842885	3842908	adeQ	hupB	b0440	adeQ
HupB	3843533	3843556	adeQ	hupB	b0440	adeQ
HupB	3843606	3843638	adeQ	hupB	b0440	adeQ
HupB	4338233	4338268	adiA	hupB	b0440	adiA
HupB	4337631	4337654	adiY	hupB	b0440	adiY
HupB	4337679	4337706	adiY	hupB	b0440	adiY
HupB	4337604	4337635	adiY	hupB	b0440	adiY
HupB	4337821	4337845	adiY	hupB	b0440	adiY
HupB	4338131	4338164	adiY	hupB	b0440	adiY
HupB	4338193	4338213	adiY	hupB	b0440	adiY
HupB	3280693	3280720	agaW	hupB	b0440	
HupB	2407789	2407793	alaA	hupB	b0440	alaA-yfbR
HupB	544181	544214	allC	hupB	b0440	
HupB	544963	544997	allC	hupB	b0440	
HupB	4265811	4265822	alr	hupB	b0440	alr
HupB	4265936	4265981	alr	hupB	b0440	alr
HupB	4311404	4311435	alsB	hupB	b0440	
HupB	4307710	4307753	alsK	hupB	b0440	alsK
HupB	4313135	4313163	alsR	hupB	b0440	alsRBACE
HupB	452310	452340	ampG	hupB	b0440	
HupB	1525810	1525843	ansP	hupB	b0440	ansP
HupB	4268586	4268589	aphA	hupB	b0440	aphA
HupB	584128	584157	appY	hupB	b0440	appY
HupB	2982343	2982371	araE	hupB	b0440	araE-ygeA
HupB	412246	412279	araJ	hupB	b0440	araJ
HupB	3350656	3350688	arcB	hupB	b0440	arcB
HupB	4153889	4153916	argE	hupB	b0440	argE
HupB	1216428	1216464	ariR	hupB	b0440	
HupB	4222182	4222191	arpA	hupB	b0440	arpA
HupB	4221559	4221571	arpA	hupB	b0440	arpA
HupB	4221836	4221866	arpA	hupB	b0440	arpA
HupB	4222158	4222191	arpA	hupB	b0440	arpA
HupB	1803199	1803235	arpB_1	hupB	b0440	
HupB	1803701	1803730	arpB_2	hupB	b0440	
HupB	1803748	1803784	arpB_2	hupB	b0440	
HupB	1804066	1804084	arpB_2	hupB	b0440	
HupB	3648654	3648691	arsR	hupB	b0440	arsRBC
HupB	3986156	3986191	aslA	hupB	b0440	aslA
HupB	3986211	3986218	aslA	hupB	b0440	aslA
HupB	3982402	3982428	aslB	hupB	b0440	aslB
HupB	3982604	3982608	aslB	hupB	b0440	aslB
HupB	3982815	3982834	aslB	hupB	b0440	aslB
HupB	3982615	3982643	aslB	hupB	b0440	aslB
HupB	3982657	3982685	aslB	hupB	b0440	aslB
HupB	2323333	2323345	atoD	hupB	b0440	atoDAEB
HupB	2321183	2321233	atoS	hupB	b0440	atoSC
HupB	2731236	2731264	bamD	hupB	b0440	bamD
HupB	2731414	2731441	bamD	hupB	b0440	bamD
HupB	3736803	3736830	bax	hupB	b0440	bax
HupB	3696614	3696647	bcsE	hupB	b0440	bcsEFG
HupB	4474258	4474265	bdcR	hupB	b0440	bdcR
HupB	3044111	3044142	bglA	hupB	b0440	bglA
HupB	3906203	3906239	bglG	hupB	b0440	bglGFB
HupB	3906252	3906278	bglG	hupB	b0440	bglGFB
HupB	3906388	3906415	bglG	hupB	b0440	bglGFB
HupB	3906208	3906232	bglG	hupB	b0440	bglGFB
HupB	3906614	3906647	bglG	hupB	b0440	bglGFB
HupB	579058	579087	borD	hupB	b0440	borD
HupB	177840	177873	btuF	hupB	b0440	
HupB	37678	37710	caiC	hupB	b0440	
HupB	3897464	3897478	cbrB	hupB	b0440	cbrBC
HupB	1271141	1271173	chaA	hupB	b0440	chaA
HupB	1271758	1271784	chaA	hupB	b0440	chaA
HupB	1821345	1821378	chbB	hupB	b0440	chbBCARFG
HupB	1820977	1821008	chbC	hupB	b0440	
HupB	1967346	1967376	cheY	hupB	b0440	
HupB	708073	708099	chiP	hupB	b0440	chiPQ
HupB	652263	652296	citA	hupB	b0440	
HupB	651472	651501	citC	hupB	b0440	citCDEFXG
HupB	651894	651920	citC	hupB	b0440	citCDEFXG
HupB	646598	646628	citT	hupB	b0440	citT
HupB	3079126	3079154	cmtB	hupB	b0440	cmtBA-yggPF-fumE-yggC
HupB	1704680	1704711	cnu	hupB	b0440	cnu
HupB	4174158	4174184	coaA	hupB	b0440	coaA
HupB	1202272	1202302	cohE	hupB	b0440	
HupB	2124097	2124119	cpsB	hupB	b0440	
HupB	88982	89010	cra	hupB	b0440	cra
HupB	4327176	4327208	crfC	hupB	b0440	crfC-yjcZ
HupB	4327269	4327295	crfC	hupB	b0440	crfC-yjcZ
HupB	4327244	4327270	crfC	hupB	b0440	crfC-yjcZ
HupB	4327272	4327302	crfC	hupB	b0440	crfC-yjcZ
HupB	1103654	1103686	csgB	hupB	b0440	csgBAC
HupB	1103993	1104016	csgB	hupB	b0440	csgBAC
HupB	1105293	1105300	csgC	hupB	b0440	
HupB	1050698	1050726	cspG	hupB	b0440	cspG
HupB	1051586	1051636	cspG	hupB	b0440	cspG
HupB	1051032	1051058	cspH	hupB	b0440	cspH
HupB	2819046	2819081	csrA	hupB	b0440	csrA
HupB	3401482	3401513	csrD	hupB	b0440	csrD
HupB	2430923	2430960	cvpA	hupB	b0440	cvpA-purF-ubiX
HupB	3992172	3992182	cyaA	hupB	b0440	cyaA
HupB	4437406	4437437	cysQ	hupB	b0440	cysQ
HupB	3655007	3655035	dctR	hupB	b0440	
HupB	3813791	3813820	dfp	hupB	b0440	dfp
HupB	3872346	3872385	dgoD	hupB	b0440	
HupB	3870607	3870634	dgoT	hupB	b0440	
HupB	180385	180414	dgt	hupB	b0440	dgt
HupB	1648137	1648163	dicA	hupB	b0440	dicA
HupB	246409	246440	dinJ	hupB	b0440	dinJ-yafQ
HupB	226581	226607	dkgB	hupB	b0440	dkgB
HupB	226933	226970	dkgB	hupB	b0440	dkgB
HupB	228994	229023	dkgB	hupB	b0440	dkgB
HupB	229714	229745	dkgB	hupB	b0440	dkgB
HupB	3883371	3883401	dnaA	hupB	b0440	dnaAN-recF
HupB	3708645	3708671	dppA	hupB	b0440	dppABCDF
HupB	3708141	3708166	dppA	hupB	b0440	dppABCDF
HupB	3705999	3706007	dppB	hupB	b0440	
HupB	3704169	3704194	dppC	hupB	b0440	
HupB	2476544	2476551	dsdX	hupB	b0440	dsdXA
HupB	4261624	4261636	dusA	hupB	b0440	dusA
HupB	3410358	3410370	dusB	hupB	b0440	dusB-fis
HupB	3410116	3410144	dusB	hupB	b0440	dusB-fis
HupB	3410354	3410392	dusB	hupB	b0440	dusB-fis
HupB	2714335	2714349	eamB	hupB	b0440	eamB
HupB	1934678	1934684	edd	hupB	b0440	edd-eda
HupB	1934647	1934683	edd	hupB	b0440	edd-eda
HupB	2383248	2383274	elaD	hupB	b0440	elaD
HupB	2383371	2383400	elaD	hupB	b0440	elaD
HupB	998057	998084	elfA	hupB	b0440	elfA
HupB	998557	998582	elfD	hupB	b0440	elfDCG-ycbUVF
HupB	624712	624749	entC	hupB	b0440	entCEBAH
HupB	3787644	3787686	envC	hupB	b0440	
HupB	2565478	2565506	eutA	hupB	b0440	
HupB	2575628	2575659	eutS	hupB	b0440	eutSPQTDM
HupB	2575628	2575667	eutS	hupB	b0440	eutSPQTDM
HupB	2575678	2575699	eutS	hupB	b0440	eutSPQTDM
HupB	1151293	1151323	fabG	hupB	b0440	
HupB	4161225	4161246	fabR	hupB	b0440	fabR-yijD
HupB	4035715	4035748	fadB	hupB	b0440	fadBA
HupB	4035930	4035979	fadB	hupB	b0440	fadBA
HupB	2177658	2177692	fbaB	hupB	b0440	fbaB
HupB	4080055	4080063	fdhD	hupB	b0440	fdhD
HupB	4080055	4080063	fdhD	hupB	b0440	fdhD
HupB	612650	612698	fes	hupB	b0440	fes-ybdZ-entF-fepE
HupB	612707	612736	fes	hupB	b0440	fes-ybdZ-entF-fepE
HupB	516365	516378	fetA	hupB	b0440	fetAB
HupB	1161640	1161672	fhuE	hupB	b0440	fhuE
HupB	4605688	4605707	fhuF	hupB	b0440	fhuF
HupB	4541254	4541288	fimB	hupB	b0440	fimB
HupB	4540927	4540953	fimB	hupB	b0440	fimB
HupB	4540993	4541031	fimB	hupB	b0440	fimB
HupB	4541348	4541378	fimB	hupB	b0440	fimB
HupB	4541517	4541543	fimB	hupB	b0440	fimB
HupB	4541783	4541813	fimE	hupB	b0440	fimE
HupB	4542273	4542309	fimE	hupB	b0440	fimE
HupB	1138577	1138609	flgK	hupB	b0440	flgKL
HupB	2003627	2003647	fliC	hupB	b0440	fliC
HupB	3204391	3204422	folB	hupB	b0440	folB
HupB	557310	557340	folD	hupB	b0440	folD-ybcJ
HupB	2492064	2492098	frc	hupB	b0440	
HupB	2492692	2492701	frc	hupB	b0440	
HupB	4092736	4092756	frvA	hupB	b0440	frvABXR
HupB	4092588	4092619	frvA	hupB	b0440	frvABXR
HupB	4139399	4139407	fsaB	hupB	b0440	
HupB	1986665	1986672	ftnB	hupB	b0440	ftnB
HupB	1986649	1986678	ftnB	hupB	b0440	ftnB
HupB	2934256	2934293	fucP	hupB	b0440	fucPIKUR
HupB	2934256	2934288	fucP	hupB	b0440	fucPIKUR
HupB	3667467	3667480	gadA	hupB	b0440	gadAXW
HupB	3665186	3665199	gadX	hupB	b0440	
HupB	3665186	3665199	gadX	hupB	b0440	
HupB	792059	792071	galE	hupB	b0440	galETKM
HupB	792059	792073	galE	hupB	b0440	galETKM
HupB	2241295	2241325	galS	hupB	b0440	galS
HupB	1490726	1490759	gapC_1	hupB	b0440	
HupB	1490736	1490778	gapC_1	hupB	b0440	
HupB	3275125	3275145	garD	hupB	b0440	garD
HupB	3275078	3275112	garD	hupB	b0440	garD
HupB	3275118	3275145	garD	hupB	b0440	garD
HupB	2600293	2600322	gcvR	hupB	b0440	gcvR
HupB	4352394	4352437	ghoS	hupB	b0440	ghoST
HupB	4278847	4278882	ghxP	hupB	b0440	ghxP
HupB	3119701	3119732	glcA	hupB	b0440	
HupB	847331	847357	glnH	hupB	b0440	glnHPQ
HupB	2352803	2352829	glpA	hupB	b0440	glpABC
HupB	3561601	3561645	glpE	hupB	b0440	glpEGR
HupB	3561352	3561380	glpG	hupB	b0440	
HupB	3561352	3561380	glpG	hupB	b0440	
HupB	3560219	3560232	glpR_2	hupB	b0440	
HupB	754443	754474	gltA	hupB	b0440	gltA
HupB	3361603	3361649	gltF	hupB	b0440	
HupB	4295225	4295249	gltP	hupB	b0440	gltP
HupB	542109	542131	glxK	hupB	b0440	
HupB	1637917	1637931	gnsB	hupB	b0440	gnsB
HupB	4551131	4551154	gntP	hupB	b0440	gntP
HupB	3783289	3783323	gpsA	hupB	b0440	
HupB	3783443	3783482	gpsA	hupB	b0440	
HupB	256351	256360	gpt	hupB	b0440	gpt
HupB	256344	256373	gpt	hupB	b0440	gpt
HupB	3330493	3330520	greA	hupB	b0440	greA
HupB	3330492	3330521	greA	hupB	b0440	greA
HupB	3455156	3455184	gspA	hupB	b0440	gspAB
HupB	3455232	3455266	gspA	hupB	b0440	gspAB
HupB	3455765	3455796	gspC	hupB	b0440	gspCDEFGHIJKLMO
HupB	3465736	3465761	gspO	hupB	b0440	
HupB	2468851	2468890	gtrB	hupB	b0440	
HupB	2470419	2470448	gtrS	hupB	b0440	
HupB	111536	111547	guaC	hupB	b0440	guaC
HupB	3657077	3657106	hdeD	hupB	b0440	hdeD
HupB	3986820	3986845	hemY	hupB	b0440	
HupB	4402866	4402907	hflK	hupB	b0440	
HupB	2039077	2039099	hiuH	hupB	b0440	
HupB	1229904	1229918	hlyE	hupB	b0440	hlyE
HupB	3520249	3520274	hofQ	hupB	b0440	hofQ
HupB	4484165	4484187	holC	hupB	b0440	holC-valS
HupB	4580182	4580213	hsdS	hupB	b0440	
HupB	4580221	4580250	hsdS	hupB	b0440	
HupB	4580169	4580205	hsdS	hupB	b0440	
HupB	4580217	4580250	hsdS	hupB	b0440	
HupB	4580908	4580942	hsdS	hupB	b0440	
HupB	2838176	2838188	hydN	hupB	b0440	hydN-hypF
HupB	2601126	2601138	hyfA	hupB	b0440	hyfABCDEFGHIJR-focB
HupB	2601126	2601140	hyfA	hupB	b0440	hyfABCDEFGHIJR-focB
HupB	536334	536343	hyi	hupB	b0440	
HupB	3867338	3867354	ibpA	hupB	b0440	ibpAB
HupB	3866613	3866644	ibpB	hupB	b0440	
HupB	1211300	1211311	icdC	hupB	b0440	icdC
HupB	1211512	1211534	icdC	hupB	b0440	icdC
HupB	4493551	4493581	idnD	hupB	b0440	idnDOTR
HupB	4494361	4494385	idnD	hupB	b0440	idnDOTR
HupB	4491454	4491479	idnT	hupB	b0440	
HupB	3953566	3953591	ilvD	hupB	b0440	
HupB	3951639	3951665	ilvG_2	hupB	b0440	
HupB	3950197	3950208	ilvL	hupB	b0440	ilvLXG_1G_2MEDA
HupB	3950407	3950436	ilvL	hupB	b0440	ilvLXG_1G_2MEDA
HupB	1050145	1050149	insB1	hupB	b0440	
HupB	3584040	3584080	insB1	hupB	b0440	
HupB	392336	392382	insF1	hupB	b0440	
HupB	1094872	1094887	insF1	hupB	b0440	
HupB	391932	391973	insF1	hupB	b0440	
HupB	391961	391986	insF1	hupB	b0440	
HupB	1094546	1094580	insF1	hupB	b0440	
HupB	4503356	4503367	insG	hupB	b0440	insG
HupB	1396279	1396304	insH1	hupB	b0440	
HupB	4507517	4507548	insI1	hupB	b0440	
HupB	4508629	4508647	insI1	hupB	b0440	
HupB	3721190	3721221	insJ	hupB	b0440	insJ
HupB	3721190	3721221	insJ	hupB	b0440	insJ
HupB	3721791	3721821	insK	hupB	b0440	insK
HupB	2755999	2756025	intA	hupB	b0440	intA
HupB	295673	295696	intF	hupB	b0440	intF
HupB	297244	297256	intF	hupB	b0440	intF
HupB	297244	297256	intF	hupB	b0440	intF
HupB	2466352	2466380	intS	hupB	b0440	intS
HupB	2466421	2466443	intS	hupB	b0440	intS
HupB	4557014	4557046	iraD	hupB	b0440	
HupB	1212268	1212298	iraM	hupB	b0440	iraM
HupB	401506	401544	iraP	hupB	b0440	iraP
HupB	3342069	3342102	kdsD	hupB	b0440	
HupB	2726079	2726111	kgtP	hupB	b0440	kgtP
HupB	2728411	2728432	kgtP	hupB	b0440	kgtP
HupB	2729362	2729393	kgtP	hupB	b0440	kgtP
HupB	2729404	2729426	kgtP	hupB	b0440	kgtP
HupB	2729602	2729609	kgtP	hupB	b0440	kgtP
HupB	2726124	2726153	kgtP	hupB	b0440	kgtP
HupB	2726821	2726849	kgtP	hupB	b0440	kgtP
HupB	2727030	2727061	kgtP	hupB	b0440	kgtP
HupB	2727278	2727302	kgtP	hupB	b0440	kgtP
HupB	2727665	2727686	kgtP	hupB	b0440	kgtP
HupB	2728268	2728295	kgtP	hupB	b0440	kgtP
HupB	2728533	2728561	kgtP	hupB	b0440	kgtP
HupB	2728623	2728643	kgtP	hupB	b0440	kgtP
HupB	2728708	2728736	kgtP	hupB	b0440	kgtP
HupB	2728867	2728903	kgtP	hupB	b0440	kgtP
HupB	2729371	2729416	kgtP	hupB	b0440	kgtP
HupB	2729404	2729426	kgtP	hupB	b0440	kgtP
HupB	2729889	2729918	kgtP	hupB	b0440	kgtP
HupB	2730053	2730087	kgtP	hupB	b0440	kgtP
HupB	2730208	2730224	kgtP	hupB	b0440	kgtP
HupB	2730734	2730757	kgtP	hupB	b0440	kgtP
HupB	1418355	1418369	kilR	hupB	b0440	kilR-ydaE
HupB	362711	362738	lacY	hupB	b0440	
HupB	366124	366142	lacZ	hupB	b0440	lacZYA
HupB	366124	366149	lacZ	hupB	b0440	lacZYA
HupB	4248818	4248846	lamB	hupB	b0440	
HupB	4248818	4248846	lamB	hupB	b0440	
HupB	1170373	1170406	ldtC	hupB	b0440	ldtC
HupB	83581	83613	leuA	hupB	b0440	
HupB	84462	84489	leuO	hupB	b0440	leuO
HupB	85145	85171	leuO	hupB	b0440	leuO
HupB	4257574	4257606	lexA	hupB	b0440	lexA-dinF
HupB	3820829	3820850	ligB	hupB	b0440	ligB
HupB	1198559	1198589	lit	hupB	b0440	lit
HupB	1199245	1199277	lit	hupB	b0440	lit
HupB	3593564	3593593	livG	hupB	b0440	
HupB	3598450	3598458	livK	hupB	b0440	livKHMGF
HupB	3597404	3597442	livK	hupB	b0440	livKHMGF
HupB	3777100	3777130	lldP	hupB	b0440	lldPRD
HupB	2406931	2406956	lrhA	hupB	b0440	lrhA
